Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
ToyKisumu Avalon 2018,"2,000,000",ToyKisumu,Avalon,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,14000
2006 ToyKisumu Coaster Bus,"3,800,000",ToyKisumu,Hiace,2006,Kenyan Used,Manual,,Petrol,,Mombasa,240000
ToyKisumu,"2,800,000",ToyKisumu,Camry,2008,Kenyan Used,Automatic,,Petrol,,Nakuru,25000
ToyKisumu,"2,200,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Naivasha,12000
ToyKisumu,"1,100,000",ToyKisumu,Matrix,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2003 MERCEDES-BENZ E 300 4MATIC,"1,550,000",Mercedes,E -class,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,16507
2004 MERCEDES-BENZ GLA 250,"2,250,000",Mercedes,GLK -class,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,14708
2014 TOYKisumu CAMRY LE,"1,380,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2014 TOYKisumu CAMRY SE,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2014 TOYKisumu COROLLA LE,"1,650,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,33
2014 TOYKisumu COROLLA LE,"1,500,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
 TOYKisumu CAMRY XLE,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,67
2002  DODGE DART SX,"1,350,000",Dodge,DakKisumu,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,17408
2010 Foreign used Mercedes Benz,"2,500,000",Mercedes,C -class,2002,Foreign,Automatic,,Petrol,,Thika,11482
2004 HONDA CR-V EXL,"2,150,000",Honda,CR-V,2004,Foreign,Automatic,,Petrol,,Eldoret,17870
2004 HONDA INSIGHT EX,"1,850,000",Honda,Insight,2004,Foreign,Automatic,,Petrol,,Eldoret,14708
2004 HONDA ACCORD EX ,"1,750,000",Honda,Accord,2004,Foreign,Automatic,,Petrol,,Eldoret,11708
2004 CHEVROLET SPARK 1LT,"1,550,000",Chevrolet,Spark,2004,Foreign,Automatic,,Petrol,,Eldoret,14708
2003 HUMMER H3,"1,600,000",Hummer,H3,2003,Foreign,Automatic,,Petrol,,Eldoret,14705
Lexus,"1,000,000",Lexus,RX,2002,Foreign,Automatic,,Petrol,,Eldoret,1000
ToyKisumu,"1,000,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Eldoret,1000
2003 NISSAN MURANO S,"1,500,000",Nissan,Murano,2003,Foreign,Automatic,,Petrol,,Eldoret,17405
2003 NISSAN ROGUE S,"1,650,000",Nissan,Rogue,2003,Foreign,Automatic,,Petrol,,Eldoret,17452
2004 TOYKisumu RAV4 XLE,"2,000,000",ToyKisumu,RAV4,2004,Foreign,Automatic,,Petrol,,Eldoret,16408
2004 TOYKisumu SCION XD,"1,250,000",ToyKisumu,Spacio,2004,Foreign,Automatic,,Petrol,,Eldoret,14508
2002 TOYKisumu CAMRY L ,"1,350,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Eldoret,14708
